species,number of ticks,year,latitude,longitude
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,4,2026,101.54827,45.92031
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.58215,45.94756
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.56482,45.95382
Haemaphysalis danieli,8,2026,101.56482,45.95382
Haemaphysalis danieli,10,2026,101.68886,45.92261
Haemaphysalis danieli,10,2026,101.68886,45.92261
Haemaphysalis danieli,10,2026,101.68886,45.92261
Haemaphysalis danieli,10,2026,101.68886,45.92261
Haemaphysalis danieli,10,2026,101.68886,45.92261
Haemaphysalis danieli,7,2026,101.68886,45.92261
Haemaphysalis danieli,4,2026,101.72945,45.88568
Haemaphysalis danieli,9,2026,101.92366,45.59701
Haemaphysalis danieli,10,2026,101.90098,45.97257
Haemaphysalis danieli,10,2026,101.90098,45.97257
Haemaphysalis danieli,10,2026,101.90098,45.97257
Haemaphysalis danieli,9,2026,101.90098,45.97257
Haemaphysalis danieli,10,2026,101.88931,45.85657
Haemaphysalis danieli,7,2026,101.88931,45.85657
Haemaphysalis danieli,10,2026,101.89312,45.86381
Haemaphysalis danieli,10,2026,101.89312,45.86381
Haemaphysalis danieli,10,2026,101.89312,45.86381
Haemaphysalis danieli,10,2026,101.89312,45.86381
Haemaphysalis danieli,10,2026,101.89312,45.86381
Haemaphysalis danieli,4,2026,101.92662,46.10032
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,10,2026,101.97793,46.10181
Haemaphysalis danieli,8,2026,101.97793,46.10181
